id,url,skills,input_url,warning,warning_code,error
garry-powell-45bb8920,https://www.linkedin.com/in/garry-powell-45bb8920,"[""SQL Server Integration Services"",""Implementing a Data Warehouse with SQL Server 2022"",""Cassandra Data Modeling Essential Training""]",https://www.linkedin.com/in/garry-powell-45bb8920,,,
rtaylor23,https://www.linkedin.com/in/rtaylor23,"[""Implementing a Data Warehouse SQL Server 2019"",""Cert Prep: Scrum Master"",""Agile Software Development""]",https://www.linkedin.com/in/rtaylor23,,,
yue-zhuang,https://www.linkedin.com/in/yue-zhuang,"[""Machine Learning and AI Foundations: Clustering and Association"",""Machine Learning and AI Foundations: Decision Trees with SPSS"",""Machine Learning & AI Foundations: Linear Regression""]",https://www.linkedin.com/in/yue-zhuang,,,
erica-martinez-b0597518a,https://www.linkedin.com/in/erica-martinez-b0597518a,"[""The 10 Pillars of Customer Experience"",""Excel Tips Weekly"",""QuickBooks Pro 2021 Essential Training""]",https://www.linkedin.com/in/erica-martinez-b0597518a,,,
samet-keserci-84857037,https://www.linkedin.com/in/samet-keserci-84857037,"[""Hadoop for Data Science Tips, Tricks, & Techniques"",""Hands-On Data Science: 4 Services Analysis in Spark"",""Amazon Web Services: Data Services""]",https://www.linkedin.com/in/samet-keserci-84857037,,,
jacob-b-05266585,https://www.linkedin.com/in/jacob-b-05266585,"[""Instructional Design: Adult Learners"",""Creating a Culture of Collaboration"",""Fusion 360: Simulation""]",https://www.linkedin.com/in/jacob-b-05266585,,,
benwxf,https://www.linkedin.com/in/benwxf,"[""Algorithmic Trading and Finance Models with Python, R, and Stata Essential Training"",""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""The Data Science of Economics, Banking, and Finance, with Barton Poulson""]",https://www.linkedin.com/in/benwxf,,,
andyjwwei,https://www.linkedin.com/in/andyjwwei,"[""OpenAI API: Vision"",""Computer Vision on the Raspberry Pi 4"",""Faster pandas""]",https://www.linkedin.com/in/andyjwwei,,,
melissa-oaks-47008a71,https://www.linkedin.com/in/melissa-oaks-47008a71,"[""Sales Management Foundations"",""Nano Tips for Running a Content Engine That Drives ROI with Ross Simmonds"",""Stories Every Leader Should Tell""]",https://www.linkedin.com/in/melissa-oaks-47008a71,,,
ryan-miller-64a4ba7a,https://www.linkedin.com/in/ryan-miller-64a4ba7a,"[""Querying Microsoft SQL Server 2022"",""Implementing a Data Warehouse SQL Server 2019"",""Designing Highly Scalable and Highly Available SQL Databases""]",https://www.linkedin.com/in/ryan-miller-64a4ba7a,,,
